2019-12-28 23:11:52.106 [main] INFO  library.assistant.ui.main.Main - Library Manager launched on 28-12-2019 11:11:52 PM
2019-12-28 23:11:54.129 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-12-28 23:11:54.132 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-12-28 23:11:56.413 [Thread-8] INFO  library.assistant.ui.main.Main - Library Manager is closing on 28-12-2019 11:11:52 PM. Used for 1577554916413 ms
2019-12-28 23:12:09.573 [main] INFO  library.assistant.ui.main.Main - Library Manager launched on 28-12-2019 11:12:09 PM
2019-12-28 23:12:11.537 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-12-28 23:12:11.541 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-12-28 23:12:18.755 [Thread-8] INFO  library.assistant.ui.main.Main - Library Manager is closing on 28-12-2019 11:12:09 PM. Used for 1577554938755 ms
2019-12-28 23:12:30.677 [main] INFO  library.assistant.ui.main.Main - Library Manager launched on 28-12-2019 11:12:30 PM
2019-12-28 23:12:32.595 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-12-28 23:12:32.599 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-12-28 23:12:40.129 [Thread-8] INFO  library.assistant.ui.main.Main - Library Manager is closing on 28-12-2019 11:12:30 PM. Used for 1577554960129 ms
2019-12-28 23:12:51.053 [main] INFO  library.assistant.ui.main.Main - Library Manager launched on 28-12-2019 11:12:51 PM
2019-12-28 23:12:53.148 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-12-28 23:12:53.152 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-12-28 23:13:01.776 [JavaFX Application Thread] INFO  library.assistant.ui.login.LoginController - User successfully logged in admin
2019-12-28 23:13:28.661 [Thread-11] INFO  library.assistant.ui.main.Main - Library Manager is closing on 28-12-2019 11:12:51 PM. Used for 1577555008661 ms
